Word,Language,Count,Count_Log
franais,fr,2,1.0986122886681098
franaise,fr,2,1.0986122886681098
geopolitique,fr,2,1.0986122886681098
gilles,fr,2,1.0986122886681098
grand,fr,2,1.0986122886681098
gratuitement,fr,2,1.0986122886681098
gratuits,fr,2,1.0986122886681098
grce,fr,2,1.0986122886681098
grillepains,fr,2,1.0986122886681098
hauts,fr,2,1.0986122886681098
images,fr,2,1.0986122886681098
jean,fr,2,1.0986122886681098
jeunes,fr,2,1.0986122886681098
jouer,fr,2,1.0986122886681098
largement,fr,2,1.0986122886681098
lassurancemaladie,fr,2,1.0986122886681098
lefebvre,fr,2,1.0986122886681098
linligibilit,fr,2,1.0986122886681098
liseuses,fr,2,1.0986122886681098
live,fr,2,1.0986122886681098
lobsit,fr,2,1.0986122886681098
lors,fr,2,1.0986122886681098
ludique,fr,2,1.0986122886681098
lutah,fr,2,1.0986122886681098
macron,fr,2,1.0986122886681098
mahjong,fr,2,1.0986122886681098
manifestations,fr,2,1.0986122886681098
mercredi,fr,2,1.0986122886681098
minutes,fr,2,1.0986122886681098
mixeurs,fr,2,1.0986122886681098
mondial,fr,2,1.0986122886681098
nous,fr,2,1.0986122886681098
nouveau,fr,2,1.0986122886681098
octobre,fr,2,1.0986122886681098
papin,fr,2,1.0986122886681098
paris,fr,2,1.0986122886681098
partenaires,fr,2,1.0986122886681098
patrick,fr,2,1.0986122886681098
pays,fr,2,1.0986122886681098
pendant,fr,2,1.0986122886681098
plongeants,fr,2,1.0986122886681098
point,fr,2,1.0986122886681098
politiques,fr,2,1.0986122886681098
pologne,fr,2,1.0986122886681098
portables,fr,2,1.0986122886681098
poubelles,fr,2,1.0986122886681098
pourrait,fr,2,1.0986122886681098
pouvoir,fr,2,1.0986122886681098
premier,fr,2,1.0986122886681098
prix,fr,2,1.0986122886681098
proche,fr,2,1.0986122886681098
procheorient,fr,2,1.0986122886681098
projet,fr,2,1.0986122886681098
propos,fr,2,1.0986122886681098
rassemblement,fr,2,1.0986122886681098
rdaction,fr,2,1.0986122886681098
relancer,fr,2,1.0986122886681098
replonge,fr,2,1.0986122886681098
restreindre,fr,2,1.0986122886681098
rflchit,fr,2,1.0986122886681098
rien,fr,2,1.0986122886681098
rmi,fr,2,1.0986122886681098
rouaud,fr,2,1.0986122886681098
russes,fr,2,1.0986122886681098
solaires,fr,2,1.0986122886681098
son,fr,2,1.0986122886681098
sortir,fr,2,1.0986122886681098
testez,fr,2,1.0986122886681098
tout,fr,2,1.0986122886681098
tri,fr,2,1.0986122886681098
vapeur,fr,2,1.0986122886681098
veut,fr,2,1.0986122886681098
violence,fr,2,1.0986122886681098
vos,fr,2,1.0986122886681098
voyage,fr,2,1.0986122886681098
abattu,fr,1,0.6931471805599453
acclrationnisme,fr,1,0.6931471805599453
acquis,fr,1,0.6931471805599453
actuel,fr,1,0.6931471805599453
actuelle,fr,1,0.6931471805599453
adul,fr,1,0.6931471805599453
adulte,fr,1,0.6931471805599453
rbcgroup,ru,9,2.302585092994046
cookie,ru,2,1.0986122886681098
wifi,ru,2,1.0986122886681098
belek,ru,1,0.6931471805599453
agoda,ru,1,0.6931471805599453
aifru,ru,1,0.6931471805599453
android,ru,1,0.6931471805599453
cbonds,ru,1,0.6931471805599453
burning,ru,1,0.6931471805599453
bloomberg,ru,1,0.6931471805599453
cbs,ru,1,0.6931471805599453
ctrlenter,ru,1,0.6931471805599453
digital,ru,1,0.6931471805599453
club,ru,1,0.6931471805599453
comfort,ru,1,0.6931471805599453
friendly,ru,1,0.6931471805599453
google,ru,1,0.6931471805599453
ios,ru,1,0.6931471805599453
johnson,ru,1,0.6931471805599453
khabarhub,ru,1,0.6931471805599453
kion,ru,1,0.6931471805599453
ethno,ru,1,0.6931471805599453
eur,ru,1,0.6931471805599453
man,ru,1,0.6931471805599453
lettersrbcru,ru,1,0.6931471805599453
nbc,ru,1,0.6931471805599453
meet,ru,1,0.6931471805599453
netflix,ru,1,0.6931471805599453
okko,ru,1,0.6931471805599453
rbcru,ru,1,0.6931471805599453
moretv,ru,1,0.6931471805599453
rss,ru,1,0.6931471805599453
search,ru,1,0.6931471805599453
time,ru,1,0.6931471805599453
telegram,ru,1,0.6931471805599453
usd,ru,1,0.6931471805599453
wayne,ru,1,0.6931471805599453
wsj,ru,1,0.6931471805599453
zoom,ru,1,0.6931471805599453
